Code Type,DenialCode,DenialReason,DenialCategory,FinalSteps
CARC,130,Claim could not be identified in the database,No claim on file,"Check the clearinghouse to determine whether the claim was transmitted.
If the claim was transmitted, verify the current claim status via phone or the payer’s web portal.
If no claim is found in the clearinghouse, determine whether the claim is still within the timely filing limit.
If it is within timely filing, resubmit the claim.
If it is past timely filing, adjust the claim accordingly.
If the claim is found rejected in Waystar, review and resolve the rejection reasons, then resubmit as appropriate.
If the account does not use a clearinghouse, call the payer to confirm patient eligibility, payer ID, and mailing address.
If the original submission used correct information, resubmit the claim.
If the information was incorrect, update the details and resubmit the claim to the payer."
CARC,131,Claim specific negotiated discount,Contractual Adjustment,No further action
CARC,132,Adjusted by the payer based on prior adjudicated claims,Reimbursement Adjustment,Post as payment adjustment
CARC,133,Claim overlaps inpatient stay,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,134,Technical component not payable in this circumstance,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,135,Interim bills cannot be processed,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,136,Failure to follow prior payer's coverage rules,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,137,Regulatory surcharges/assessments/allowances,Reimbursement Adjustment,Post as payment adjustment
CARC,138,Appeal procedures not followed,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,139,Contracted funding agreement - Subscriber is employed by the provider,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,140,Patient/Insured health identification number and name do not match,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,141,Claim spans eligible and ineligible period of coverage,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,142,SBR supplemental coverage is not on file,Awaiting Eligibility Information,"Review the remark code to determine whether any specific details are indicated (e.g., invalid or missing member name, date of birth, or policy number).
Verify eligibility through the available portal or by phone. Confirm whether the patient was active or inactive on the date of service (DOS), including validation of the patient’s name, date of birth, and policy ID number.
If the patient is inactive, determine whether additional payer information is available:
If yes, submit an IVF form to add the information in IBMi.
If the information has already been added in IBMi, submit a spreadsheet review request to rebook the invoice to the active payer.
If no additional active payer is identified, submit an IVF form to run eligibility or contact the patient for updated information.
If the patient is active, contact the payer and request claim reprocessing."
CARC,143,Portion of payment deferred,Awaiting Eligibility Information,"Review the remark code to determine whether any specific details are indicated (e.g., invalid or missing member name, date of birth, or policy number).
Verify eligibility through the available portal or by phone. Confirm whether the patient was active or inactive on the date of service (DOS), including validation of the patient’s name, date of birth, and policy ID number.
If the patient is inactive, determine whether additional payer information is available:
If yes, submit an IVF form to add the information in IBMi.
If the information has already been added in IBMi, submit a spreadsheet review request to rebook the invoice to the active payer.
If no additional active payer is identified, submit an IVF form to run eligibility or contact the patient for updated information.
If the patient is active, contact the payer and request claim reprocessing."
CARC,144,Incentive adjustment,Reimbursement Adjustment,Post as payment adjustment
CARC,145,Provider credentialing/recredentialing - rate pending,Awaiting Eligibility Information,"Review the remark code to determine whether any specific details are indicated (e.g., invalid or missing member name, date of birth, or policy number).
Verify eligibility through the available portal or by phone. Confirm whether the patient was active or inactive on the date of service (DOS), including validation of the patient’s name, date of birth, and policy ID number.
If the patient is inactive, determine whether additional payer information is available:
If yes, submit an IVF form to add the information in IBMi.
If the information has already been added in IBMi, submit a spreadsheet review request to rebook the invoice to the active payer.
If no additional active payer is identified, submit an IVF form to run eligibility or contact the patient for updated information.
If the patient is active, contact the payer and request claim reprocessing."
CARC,146,Diagnosis/condition not covered,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,147,Provider contracted/negotiated rate expired/not on file,Require Pricing Information,"Contact the payer to clarify why pricing information is required for the claim.
Verify in the history whether the same HCPCS code has previously been billed and paid.
If yes, request reprocessing of the claim.
If no, proceed to Step 3.
Check the EMR to determine whether the required pricing information is available.
If available, submit the pricing details to the payer via fax or email.
If the pricing information is not available, escalate the request to the RBCO or Centre teams to obtain the required pricing details."
CARC,148,Information from another provider was not provided or not provided timely,Additional information requested,"Review the remark code to determine the specific additional information requested by the insurance payer.
Examine prior documentation and notes to verify whether the requested information has already been submitted.
If the information has been submitted, follow up on the claim status through a phone call or the payer’s online portal. If it has not been submitted, proceed to verify the availability of the required document.
If the requested document is available, transmit it to the payer via fax or email. If the document is not available, escalate the matter to the RBCO or the appropriate center team for resolution."
CARC,149,Lifetime benefit maximum has been reached for this service/procedure,Maximum Benefit Met,"Verify the allowable units for the procedure code and compare them with the units billed on the claim.
Review the account history and notes to identify any prior updates or adjustment activity related to the invoice.
Contact the payer or check the payer’s web portal to confirm whether the patient’s benefit has been exhausted—either in terms of units or dollar allowances.
If the benefit is exhausted based on units:
Review the history to determine whether payment was previously received.
If payment was received and the allowable units have been fully used, adjust the invoice accordingly.
If payment was not received previously, request reprocessing of the claim.
If the benefit is exhausted based on dollars:
Review the history to confirm whether full payment was received.
If the allowed amount has been fully met, adjust the invoice.
If the allowed amount has not been fully met, request reprocessing."
CARC,150,Payer deems the information submitted does not support this level/type of service,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,151,Payment adjusted because the payer deems the information submitted does not support this many services,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,152,Payer deems the information submitted does not support this length of service,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,153,Payer deems the information submitted does not support this dosage,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,154,Payer deems the information submitted does not support this day's supply,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,155,Patient refused the service/procedure,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,157,Service/procedure was provided as a result of an act of war,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,158,Service/procedure was provided outside of the United States,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,159,Service/procedure was provided as a result of terrorism,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,160,Injury/illness was the result of an activity that is a benefit exclusion,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,161,Provider performance program withhold,Reimbursement Adjustment,Post as payment adjustment
CARC,162,State-mandated Requirement for Property and Casualty,TFL,"Verify the bill date and determine the timely filing limit for the payer.
If the claim was billed within the timely filing period, contact the payer and request reprocessing.
If the claim was not billed within the timely filing period, check the clearinghouse to determine whether Proof of Timely Filing (POTF) is available.
If POTF is available, submit it to the payer via fax or email.
If no POTF is available and the denial is confirmed as a valid timely filing denial, adjust the claim as past timely."
CARC,163,Attachment referenced on claim not received,Additional information requested,"Review the remark code to determine the specific additional information requested by the insurance payer.
Examine prior documentation and notes to verify whether the requested information has already been submitted.
If the information has been submitted, follow up on the claim status through a phone call or the payer’s online portal. If it has not been submitted, proceed to verify the availability of the required document.
If the requested document is available, transmit it to the payer via fax or email. If the document is not available, escalate the matter to the RBCO or the appropriate center team for resolution."
CARC,164,Attachment referenced on claim not received in a timely manner,Additional information requested,"Review the remark code to determine the specific additional information requested by the insurance payer.
Examine prior documentation and notes to verify whether the requested information has already been submitted.
If the information has been submitted, follow up on the claim status through a phone call or the payer’s online portal. If it has not been submitted, proceed to verify the availability of the required document.
If the requested document is available, transmit it to the payer via fax or email. If the document is not available, escalate the matter to the RBCO or the appropriate center team for resolution."
CARC,165,Attachment/other documentation not on file,Additional information requested,"Review the remark code to determine the specific additional information requested by the insurance payer.
Examine prior documentation and notes to verify whether the requested information has already been submitted.
If the information has been submitted, follow up on the claim status through a phone call or the payer’s online portal. If it has not been submitted, proceed to verify the availability of the required document.
If the requested document is available, transmit it to the payer via fax or email. If the document is not available, escalate the matter to the RBCO or the appropriate center team for resolution."
CARC,166,These services were submitted after this payer's timely filing period,Timely Filing,Appeal with proof of timely filing
CARC,167,Not authorized by network/primary care providers,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,168,Service performed in a geographic location outside of our network,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,169,Alternate benefit has been provided,Reimbursement Adjustment,Post as payment adjustment
CARC,170,Payment reduced when performed by this type of provider,Reimbursement Adjustment,Post as payment adjustment
CARC,171,Payment reduced when performed or billed by this type of provider in this type of facility,Reimbursement Adjustment,Post as payment adjustment
CARC,172,Payment reduced/not paid because payment included in another service,Bundled Services,No further action - bundled
CARC,173,Service was not prescribed by physician,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,174,Service was not ordered by a physician,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,175,Prescription is incomplete,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,176,Prescription is not current,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,177,Patient has not met required eligibility requirements,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,178,Patient has not met spend down liability,Patient Responsibility,Patient must meet spend down
CARC,179,Claim submitted with incomplete remittance advice,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,180,Patient has not met the patient pay amount requirement,Patient Responsibility,Patient must meet pay amount
CARC,181,Procedure code not on fee schedule or was deleted,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,182,Procedure modifier was invalid,Procedure/Modifier Incorrect,"Review the remark code to identify whether the denial is related to the procedure code or the modifier.
Check the account history to determine whether the same procedure code or modifier was previously billed and paid.
If yes, contact the insurance payer and request reprocessing.
If no, proceed to Step 3.
Assess whether the issue involves the procedure code or modifier and determine if a correction is possible.
If yes, apply the appropriate modifier and submit a corrected claim.
If the correct procedure or modifier details cannot be determined, escalate to the RBCO/Centre teams for a coding review."
CARC,183,Chain referral not on file,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,184,Pharmacy discount card processing fee,Reimbursement Adjustment,Post as payment adjustment
CARC,185,Claim denied as ordering/referring provider is not eligible to order/refer,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,186,Level of care change adjustment,Reimbursement Adjustment,Post as payment adjustment
CARC,187,Consumer Spending Account payments,Paid Claims,"Check IBMi for the EOB (Explanation of Benefits).
If the EOB is available, document all payment details and submit them for payment posting.
If no EOB is available, obtain the payment details by contacting the payer via phone or reviewing the payer’s web portal.
Verify the mode of payment (check or EFT) and record all check/EFT details, then submit the information for payment posting.
If payment was issued 15 or more days ago and no payment has been posted or received, contact the payer to request a check tracer number, confirming the mailing address on file is correct."
CARC,188,Claim failed provider access check,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,189,Not otherwise classified or unlisted procedure code,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,190,Payment made on a conditional basis,Paid Claims,"Check IBMi for the EOB (Explanation of Benefits).
If the EOB is available, document all payment details and submit them for payment posting.
If no EOB is available, obtain the payment details by contacting the payer via phone or reviewing the payer’s web portal.
Verify the mode of payment (check or EFT) and record all check/EFT details, then submit the information for payment posting.
If payment was issued 15 or more days ago and no payment has been posted or received, contact the payer to request a check tracer number, confirming the mailing address on file is correct."
CARC,191,Not a work-related injury/illness,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,192,Non-covered charges not sent to patient by provider,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,193,Original claim not covered,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,194,Anesthesia provided by rendering provider,Bundled Services,No further action - bundled
CARC,195,"Patient has not met required eligibility, waiting period, or limitations",Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,196,Claim contains late charges,Timely Filing,Verify timely filing
CARC,197,Precertification/authorization/notification absent,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,198,Precertification/authorization exceeded,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,199,Revenue code/procedure code inconsistent with type of bill,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,200,Expenses incurred during lapse in coverage,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
